file_name,num_points,frac_flower_points,more5_neighbor_flower,more5_neighbor_ovr,mean_closest_distance,std_closest_distance,mean_count,std_count,label
Mouse0.xy,157,0.20382165605095542,0.7834394904458599,0.5625,0.027661842424375954,0.010382131901871653,4.235668789808917,1.5644951054208502,Clean
thing.xy,343,0.011661807580174927,0.7842565597667639,0.25,0.009741296143851056,0.005463372022507275,4.276967930029154,1.9186730462605492,Clean
stair.xy,160,0.0875,0.775,0.6428571428571429,0.013794922641305957,0.006745095920913453,3.45,1.2835497652993437,Clean
vase.xy,317,0.022082018927444796,0.6876971608832808,0.5714285714285714,0.010439101215574714,0.00404118712875923,3.4921135646687698,1.1137657212090386,Clean
skyhawkocc1.xy,232,0.021551724137931036,0.7974137931034483,0.0,0.02022165812078059,0.003940118282071137,2.9051724137931036,0.35908044137342293,Clean
skyhawkocc1-0.02.xy,232,0.04741379310344827,0.8060344827586207,0.45454545454545453,0.020279285307701397,0.0111152877605062,3.7672413793103448,1.4405324603500733,Distorted
skyhawkocc1-0.005.xy,232,0.04310344827586207,0.8189655172413793,0.4,0.01748313476557877,0.006394555219845192,2.9224137931034484,0.8110323569054945,Distorted
skyhawkocc1-0.01.xy,232,0.03879310344827586,0.7672413793103449,0.3333333333333333,0.018738656100495677,0.00824898297196995,3.2155172413793105,0.9765000351603947,Distorted
skyhawkocc1-0.015.xy,232,0.05172413793103448,0.8189655172413793,0.6666666666666666,0.01864223914877428,0.009707759340662071,3.6120689655172415,1.165388434016877,Distorted
skyhawkocc1-10-2.xy,928,0.07543103448275862,0.8168103448275862,0.7428571428571429,0.006574498692135903,0.003696497880092634,3.956896551724138,1.449686300069363,Band
skyhawkocc1-12.5-5.xy,2552,0.0987460815047022,0.8526645768025078,0.8095238095238095,0.004334280767527092,0.002874286978990353,5.39576802507837,2.3729697059137735,Band
skyhawkocc1-7.5-2.xy,928,0.07004310344827586,0.7952586206896551,0.5692307692307692,0.0060176471778718545,0.0032907738801580514,3.8900862068965516,1.3813680099000656,Band
beetle-1.xy,1973,0.02939685757729346,0.8514951849974658,0.034482758620689655,0.003382618974364101,0.00020235710362783273,2.791180942726812,0.44685449521095966,Clean
beetle-1-0.02.xy,1973,0.10795742524075012,0.8672072985301571,0.8215962441314554,0.006076575718176796,0.004101530215057488,6.052204764318297,2.6050773953610658,Distorted
beetle-1-0.01.xy,1973,0.0983274201723264,0.8727825646224024,0.8247422680412371,0.005268897431003594,0.00304434641293336,4.840851495184998,1.9788577609976323,Distorted
beetle-1-0.005.xy,1973,0.07349214394323365,0.8449062341611758,0.7034482758620689,0.004261874205160867,0.0023410717851000654,4.163710086163203,1.5539172158515593,Distorted
beetle-1-0.015.xy,1973,0.10491637100861632,0.8763304612265586,0.855072463768116,0.005572346250221759,0.003630659590055972,5.59908768373036,2.5330935190783452,Distorted
beetle-1-12.5-5.xy,193354,0.1079057066313601,0.8748151059714306,0.8560678680981595,0.00025003722821406266,0.00017087386604346333,7.231689026345459,5.002199002871695,Band
beetle-1-7.5-2.xy,76947,0.09309004899476263,0.863711385759029,0.8168365210107497,0.00030264707622773324,0.00020238057169006575,6.402653774676076,3.8020734833860486,Band
beetle-1-10-2.xy,76947,0.09668992943194667,0.8659596865374869,0.8385752688172043,0.00035416076006243054,0.0002379529509944764,6.4290615618542635,3.6732777746055953,Band
marshrabbit-0.015.xy,149,0.04697986577181208,0.7315436241610739,0.42857142857142855,0.02071381624261111,0.010732316837315905,3.4295302013422817,0.9358987609237537,Distorted
marshrabbit.xy,149,0.040268456375838924,0.697986577181208,0.0,0.024432400202764642,0.0035370013049776422,2.9060402684563758,0.3901863584898962,Clean
